Poll_ID,Pollster,Date,Parliament_ID,CDUCSU,SPD,Gruene,FDP,Linke,AfD,BSW
BT03171209S,Emnid,2017-12-09,BT,33,21,11,9,10,12,NA
BT02171210G,Forsa,2017-12-10,BT,34,20,12,8,9,11,NA
BT02171210F,Forsa,2017-12-10,BT,34,20,12,8,9,11,NA
BY05171213A,INSA,2017-12-13,BY,40,15,12,7,4,12,NA
RP01171214D,Infratest dimap,2017-12-14,RP,37,38,7,6,3,6,NA
BT01171214M,Infratest dimap,2017-12-14,BT,32,20,12,9,9,13,NA
BT03171216T,Emnid,2017-12-16,BT,32,22,11,8,9,13,NA
BT02171216H,Forsa,2017-12-16,BT,33,20,12,8,10,12,NA
BT09171221C,Allensbach,2017-12-21,BT,34,21,11.5,10,9,11,NA
BT03171223U,Emnid,2017-12-23,BT,33,21,11,8,10,12,NA
BT02171227I,Forsa,2017-12-27,BT,34,19,12,8,10,12,NA
BT13171228P,YouGov,2017-12-28,BT,33,21,10,9,10,13,NA
BY04180102B,GMS,2018-01-02,BY,39,15,10,7,3,12,NA
BE02180102K,Forsa,2018-01-02,BE,20,20,17,6,18,11,NA
BT04180103W,GMS,2018-01-03,BT,32,20,11,9,10,14,NA
BT01180104N,Infratest dimap,2018-01-04,BT,33,21,11,9,9,13,NA
BT03180106V,Emnid,2018-01-06,BT,33,20,12,9,9,12,NA
BT02180107J,Forsa,2018-01-07,BT,34,20,12,9,9,10,NA
BY01180110C,Infratest dimap,2018-01-10,BY,40,16,14,5,3,10,NA
RP05180110E,INSA,2018-01-10,RP,34,33,7,7,5,10,NA
BT03180113W,Emnid,2018-01-13,BT,34,21,11,8,9,13,NA
NW01180114C,Infratest dimap,2018-01-14,NW,34,28,9,10,7,9,NA
BT02180115K,Forsa,2018-01-15,BT,33,20,12,9,9,11,NA
MV02180118W,Forsa,2018-01-18,MV,20,28,5,5,15,19,NA
BT02180118L,Forsa,2018-01-18,BT,34,18,12,8,10,12,NA
