Poll_ID,Parliament_ID,Parliament_Name,Pollster_ID,Pollster_Name,Date,n,Party_Name,Pct
BT09210828W,BT,Bundestag,9,Allensbach,2021-08-28,1038,Linke,6
BT09210819V,BT,Bundestag,9,Allensbach,2021-08-19,1018,Linke,7.5
BT09210728U,BT,Bundestag,9,Allensbach,2021-07-28,1243,Linke,7
BT09210720T,BT,Bundestag,9,Allensbach,2021-07-20,1028,Linke,6.5
BT09210616S,BT,Bundestag,9,Allensbach,2021-06-16,1070,Linke,7
BT09210519R,BT,Bundestag,9,Allensbach,2021-05-19,1027,Linke,6.5
BT09210421Q,BT,Bundestag,9,Allensbach,2021-04-21,1051,Linke,7.5
BT09210324P,BT,Bundestag,9,Allensbach,2021-03-24,1006,Linke,8.5
BT09210225O,BT,Bundestag,9,Allensbach,2021-02-25,1082,Linke,7
BT09210128N,BT,Bundestag,9,Allensbach,2021-01-28,1080,Linke,7.5
BT09201216M,BT,Bundestag,9,Allensbach,2020-12-16,1022,Linke,7
BT09201118L,BT,Bundestag,9,Allensbach,2020-11-18,1286,Linke,7.5
BT09201023K,BT,Bundestag,9,Allensbach,2020-10-23,1045,Linke,7
BT09200922J,BT,Bundestag,9,Allensbach,2020-09-22,1043,Linke,7
BT09200827I,BT,Bundestag,9,Allensbach,2020-08-27,1231,Linke,7
BT09200722H,BT,Bundestag,9,Allensbach,2020-07-22,1237,Linke,7.5
BT09200618G,BT,Bundestag,9,Allensbach,2020-06-18,1314,Linke,7
BT09200522F,BT,Bundestag,9,Allensbach,2020-05-22,1013,Linke,7
BT09200424E,BT,Bundestag,9,Allensbach,2020-04-24,1152,Linke,7
BT09200325D,BT,Bundestag,9,Allensbach,2020-03-25,1219,Linke,8
BT09200219C,BT,Bundestag,9,Allensbach,2020-02-19,1262,Linke,9.5
BT09200129B,BT,Bundestag,9,Allensbach,2020-01-29,1273,Linke,8
BT09191219A,BT,Bundestag,9,Allensbach,2019-12-19,1270,Linke,8.5
BT09191119Y,BT,Bundestag,9,Allensbach,2019-11-19,1298,Linke,8
BT09191016X,BT,Bundestag,9,Allensbach,2019-10-16,1238,Linke,7
BT09190917W,BT,Bundestag,9,Allensbach,2019-09-17,1255,Linke,8
BT09190821V,BT,Bundestag,9,Allensbach,2019-08-21,1262,Linke,8
BT09190724U,BT,Bundestag,9,Allensbach,2019-07-24,1228,Linke,8.5
BT09190621T,BT,Bundestag,9,Allensbach,2019-06-21,1273,Linke,8
BT09190523S,BT,Bundestag,9,Allensbach,2019-05-23,1283,Linke,8.5
BT09190418R,BT,Bundestag,9,Allensbach,2019-04-18,1305,Linke,8
BT09190327Q,BT,Bundestag,9,Allensbach,2019-03-27,1198,Linke,8.5
BT09190219P,BT,Bundestag,9,Allensbach,2019-02-19,1222,Linke,8
BT09190123O,BT,Bundestag,9,Allensbach,2019-01-23,1249,Linke,8.5
BT09181220N,BT,Bundestag,9,Allensbach,2018-12-20,1295,Linke,9
BT09181130M,BT,Bundestag,9,Allensbach,2018-11-30,1242,Linke,9
BT09181018L,BT,Bundestag,9,Allensbach,2018-10-18,1259,Linke,9
BT09180918K,BT,Bundestag,9,Allensbach,2018-09-18,1258,Linke,9
BT09180815J,BT,Bundestag,9,Allensbach,2018-08-15,1295,Linke,9
BT09180717I,BT,Bundestag,9,Allensbach,2018-07-17,1295,Linke,9
BT09180620H,BT,Bundestag,9,Allensbach,2018-06-20,1279,Linke,9.5
